,title,originallink,link,description,pubDate
0,2030 홈술족 어딨죠? 유흥주점 박차고 나온 위스키,https://hankookilbo.com/News/Read/A2021042614020002056?did=NA,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=469&aid=0000600134,골든블루의 싱글몰트 위스키 '카발란'의 지난달 판매량은 작년 3월보다 무려 4배 증가했는데 GS25의 스마트 오더(온라인으로 주문한 뒤 편의점에서 받아 가는 방식) 판매량이 급증한 덕분이라는 게 회사 측 설명이다.... ,"Mon, 26 Apr 2021 21:31:00 +0900"
1,로봇 서빙·모바일 주문…고속도로 휴게소는 변신 중,http://www.koit.co.kr/news/articleView.html?idxno=82698,http://www.koit.co.kr/news/articleView.html?idxno=82698,"네이버 주문, 페이코 오더, 스마트 오더 2.0 등이 이를 지원한다. 휴게소에 구축되고 있는 초고속 충전 플랫폼 '이핏(E-pit)'. [사진=현대차그룹] 한편, 전기차의 대중화가 빠르게 진행되고 있는 상황에 발맞춰 초고속 충전... ","Mon, 26 Apr 2021 11:02:00 +0900"
2,[소년중앙] 우리 동네 맞춤 서비스로 삶의 질 높여봐요,https://news.joins.com/article/olink/23638245,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=025&aid=0003096585,다만 스마트오더 형태로 진행되는 주류 상품의 경우 동네마트와 마찬가지로 로마켓 앱 내에서도 성인만 이용 가능합니다. 앱 내 성인인증과 마트에서 배달할 때 신분증을 통한 확인 등 2회 이상의 성인인증을 통해... ,"Mon, 26 Apr 2021 10:30:00 +0900"
3,"[비즈마켓] 롯데백화점,  현대백화점,  갤러리아백화점,  이마트 '몰리스'...",http://www.bizwnews.com/news/articleView.html?idxno=24311,http://www.bizwnews.com/news/articleView.html?idxno=24311,"몰리스 스마트스토어를 찜하거나 '방송 알림 받기'를 설정한 고객에게는 몰리스 할인 쿠폰을 증정한다.... 편리한 매장 이용을 위해 마련됐으며, 고객이 해피오더 앱에서 'HIVE한남' 드라이브 픽업 메뉴를 선택 주문한 뒤... ","Mon, 26 Apr 2021 07:16:00 +0900"
4,대전 유성 '디지털트랜스포메이션'으로 구민 복지 앞장,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1468738,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1468738,"소상공인과 경제 부문에서는 스마트 오더 시스템을 도입한다. 대상은 봉명동 우산거리로 시스템 50개 설치할 계획이다. 아울러, 지역 내 교육도 디지털로 바꾼다는 계획이다. 모든 계층이 가까운 곳에서 맞춤형 디지털... ","Sun, 25 Apr 2021 19:12:00 +0900"
5,"정부, 3천개 소상공인 점포에 '스마트 기술' 보급한다",http://www.idaegu.co.kr/news/articleView.html?idxno=344590,http://www.idaegu.co.kr/news/articleView.html?idxno=344590,"해당 기술 전수를 희망하는 소상공인에세 455만 원 한도 내에 70%를 지원하고 '스마트오더'는 35만 원 한도 내에 100%를 지원하는 방식이다. 올해엔 업종별 협·단체를 선정해 스마트상점 모델을 개발하고, 회원 소상공인... ","Sun, 25 Apr 2021 17:34:00 +0900"
6,"대경중기청, ‘스마트상점 기술보급’ 협·단체 모집",http://www.kbsm.net/default/index_view_page.php?idx=309577&part_idx=326,http://www.kbsm.net/default/index_view_page.php?idx=309577&part_idx=326,"소비‧유통 환경이 빠르게 디지털화함에 따라 소상공인 점포도 온라인‧디지털 기술 적용 필요성이 높아지고 있는 상황에 맞춰 지난해 ‘스마트 시범상가’를 지정해 상가 내 소상공인 점포에 스마트오더, 키오스크... ","Sun, 25 Apr 2021 08:04:00 +0900"
7,"버드와이저, 스마트오더 전용 ‘알루미늄 병’ 패키지 출시",http://moneys.mt.co.kr/news/mwView.php?no=2021041811108030625,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000686013,6월말까지 한정 판매 버드와이저(Budweiser)가 홈술족을 겨냥한 스마트오더 전용 패키지를 선보였다. 오비맥주는 버드와이저가 알루미늄 병 제품으로 구성된 한정판 패키지를 GS25 스마트오더 앱을 통해 6월말까지... ,"Sat, 24 Apr 2021 17:03:00 +0900"
8,"유튜브 영상이 안주…주류업계, 스트리밍족 홈술 추천",http://www.mediapen.com/news/view/621935,http://www.mediapen.com/news/view/621935,GS25의 주류 스마트오더 시스템 '와인25플러스'를 통해 구매할 수 있다. 상품 포장박스에는 '말리쿨' 칵테일 황금비율 레시피가 적혀 있어 집에서도 맛있는 칵테일을 만들어 먹을 수 있다.,"Sat, 24 Apr 2021 09:24:00 +0900"
9,"주류업계, 스트리밍족 위한 홈술 주류 추천",https://www.dailian.co.kr/news/view/984933/?sc=Naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002487454,말리부 오리지널 200mL 1병과 말리부 라임 200mL 1병이 제공되며 GS25의 주류 스마트오더 시스템 '와인25플러스'를 통해 구매할 수 있다. 상품 포장박스에는 '말리쿨' 칵테일 황금비율 레시피가 적혀 있어 집에서도 맛있는... ,"Sat, 24 Apr 2021 09:00:00 +0900"
